
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
0,,Filament,0.000,1,100000000,
6,,Filament,1.000,1,100000000,
8,,Filament,2.000,1,100000000,
8,,Filament,3.000,1,100000000,
7,,Filament,4.000,1,100000000,
8,,Filament,5.000,1,100000000,
5,,Filament,6.000,1,100000000,
5,,Filament,7.000,1,100000000,
4,,Filament,8.000,1,100000000,
1,,Filament,9.000,1,100000000,
2,,Filament,10.000,1,100000000,
0,,Filament,11.000,1,100000000,
0,,Filament,0.000,1,100000001,
5,,Filament,1.000,1,100000001,
4,,Filament,2.000,1,100000001,
7,,Filament,3.000,1,100000001,
8,,Filament,4.000,1,100000001,
6,,Filament,5.000,1,100000001,
5,,Filament,6.000,1,100000001,
6,,Filament,7.000,1,100000001,
8,,Filament,8.000,1,100000001,
7,,Filament,9.000,1,100000001,
8,,Filament,10.000,1,100000001,
8,,Filament,11.000,1,100000001,
4,,Filament,12.000,1,100000001,
4,,Filament,13.000,1,100000001,
5,,Filament,14.000,1,100000001,
4,,Filament,15.000,1,100000001,
3,,Filament,16.000,1,100000001,
1,,Filament,17.000,1,100000001,
2,,Filament,18.000,1,100000001,
3,,Filament,19.000,1,100000001,
4,,Filament,20.000,1,100000001,
2,,Filament,21.000,1,100000001,
4,,Filament,22.000,1,100000001,
3,,Filament,23.000,1,100000001,
3,,Filament,24.000,1,100000001,
1,,Filament,25.000,1,100000001,
0,,Filament,26.000,1,100000001,
0,,Filament,0.000,1,100000002,
7,,Filament,1.000,1,100000002,
6,,Filament,2.000,1,100000002,
7,,Filament,3.000,1,100000002,
8,,Filament,4.000,1,100000002,
10,,Filament,5.000,1,100000002,
11,,Filament,6.000,1,100000002,
10,,Filament,7.000,1,100000002,
9,,Filament,8.000,1,100000002,
10,,Filament,9.000,1,100000002,
8,,Filament,10.000,1,100000002,
9,,Filament,11.000,1,100000002,
12,,Filament,12.000,1,100000002,
10,,Filament,13.000,1,100000002,
8,,Filament,14.000,1,100000002,
5,,Filament,15.000,1,100000002,
6,,Filament,16.000,1,100000002,
3,,Filament,17.000,1,100000002,
0,,Filament,18.000,1,100000002,
0,,Filament,0.000,1,100000003,
2,,Filament,1.000,1,100000003,
6,,Filament,2.000,1,100000003,
4,,Filament,3.000,1,100000003,
7,,Filament,4.000,1,100000003,
4,,Filament,5.000,1,100000003,
5,,Filament,6.000,1,100000003,
3,,Filament,7.000,1,100000003,
4,,Filament,8.000,1,100000003,
3,,Filament,9.000,1,100000003,
4,,Filament,10.000,1,100000003,
3,,Filament,11.000,1,100000003,
5,,Filament,12.000,1,100000003,
5,,Filament,13.000,1,100000003,
4,,Filament,14.000,1,100000003,
5,,Filament,15.000,1,100000003,
4,,Filament,16.000,1,100000003,
4,,Filament,17.000,1,100000003,
1,,Filament,18.000,1,100000003,
0,,Filament,19.000,1,100000003,
