
Spine Terminal Pt Time Index
 ==================== 
Spine Terminal Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,3,2,1,100000000,610000002044,
1,,Spine,4,4,1,100000000,610000002048,
1,,Spine,1,1,1,100000000,610000002051,
1,,Spine,2,1,1,100000000,610000002053,
1,,Spine,6,4,1,100000000,610000002055,
1,,Spine,,,1,,610000002057,
1,,Spine,0,1,1,100000000,610000002069,
1,,Spine,4,3,1,100000000,610000002071,
1,,Spine,1,1,1,100000000,610000002073,
1,,Spine,7,3,1,100000000,610000002075,
1,,Spine,3,1,1,100000001,610000002077,
1,,Spine,0,1,1,100000000,610000002080,
1,,Spine,0,1,1,100000001,610000002084,
1,,Spine,2,1,1,100000000,610000002086,
1,,Spine,2,2,1,100000000,610000002088,
1,,Spine,7,3,1,100000000,610000002091,
1,,Spine,1,1,1,100000001,610000002094,
1,,Spine,,,1,,610000002096,
1,,Spine,2,1,1,100000002,610000002106,
1,,Spine,2,1,1,100000001,610000002108,
1,,Spine,0,1,1,100000000,610000002111,
1,,Spine,2,1,1,100000000,610000002113,
1,,Spine,,,1,,610000002117,
1,,Spine,2,2,1,100000000,610000002125,
1,,Spine,4,3,1,100000000,610000002127,
1,,Spine,2,3,1,100000000,610000002129,
1,,Spine,0,1,1,100000000,610000002132,
1,,Spine,,,1,,610000002134,
1,,Spine,6,2,1,100000000,610000002141,
1,,Spine,3,3,1,100000000,610000002144,
1,,Spine,1,1,1,100000000,610000002146,
1,,Spine,2,2,1,100000000,610000002148,
1,,Spine,3,1,1,100000001,610000002150,
1,,Spine,3,1,1,100000001,610000002155,
1,,Spine,2,2,1,100000000,610000002166,
1,,Spine,7,2,1,100000000,610000002171,
1,,Spine,2,2,1,100000000,610000002179,
1,,Spine,,,1,,610000002187,
1,,Spine,4,1,1,100000000,610000002217,
1,,Spine,0,1,1,,610000002269,
1,,Spine,3,3,1,,610000002269,
1,,Spine,1,2,1,,610000002270,
1,,Spine,1,1,1,,610000002270,
1,,Spine,1,2,1,,610000002271,
1,,Spine,2,2,1,,610000002271,
1,,Spine,4,4,1,,610000002271,
1,,Spine,2,1,1,,610000002272,
1,,Spine,0,1,1,,610000002272,
1,,Spine,3,1,1,,610000002272,
1,,Spine,,,1,,610000002273,
1,,Spine,1,1,1,,610000002273,
1,,Spine,2,3,1,,610000002274,
1,,Spine,3,3,1,,610000002275,
1,,Spine,0,1,1,,610000002277,
1,,Spine,0,1,1,,610000002278,
1,,Spine,1,1,1,,610000002279,
1,,Spine,2,2,1,,610000002280,
1,,Spine,2,2,1,,610000002281,
1,,Spine,2,2,1,,610000002282,
1,,Spine,2,2,1,,610000002283,
1,,Spine,2,2,1,,610000002284,
1,,Spine,2,2,1,,610000002285,
1,,Spine,2,2,1,,610000002286,
1,,Spine,2,1,1,,610000002287,
1,,Spine,4,1,1,,610000002288,
1,,Spine,4,1,1,,610000002289,
1,,Spine,5,3,1,,610000002290,
1,,Spine,4,3,1,,610000002291,
1,,Spine,4,3,1,,610000002292,
1,,Spine,7,2,1,,610000002293,
1,,Spine,0,1,1,,610000002294,
1,,Spine,0,1,1,,610000002295,
1,,Spine,3,3,1,,610000002296,
1,,Spine,,,1,,610000002297,
1,,Spine,,,1,,610000002300,
